1,2,3,4,5
141,827,286,624,411
229,861,106,63,350
192,777,403,558,631
575,588,692,78,721
344,732,240,475,293
70,109,483,500,519
778,127,425,823,660
233,819,409,906,216
136,966,145,908,863
691,178,887,88,608
246,395,131,376,773
721,55,493,390,803
393,322,631,612,56
247,898,196,439,984
17,889,95,68,974
241,667,567,369,420
547,792,119,732,382
114,338,991,528,928
263,659,537,821,114
913,185,37,521,521
81,85,532,823,625
717,270,810,166,60
164,465,642,112,646
92,942,532,1,154
335,830,394,796,56
643,173,595,950,844
855,530,798,708,464
494,70,998,866,27
70,479,176,274,933
12,185,211,476,19
795,544,164,315,431
896,405,618,844,181
858,622,513,665,972
560,188,718,638,850
464,69,2,730,318
973,791,958,105,956
173,880,15,348,726
865,411,362,885,804
359,947,882,176,542
340,792,881,698,498
986,538,966,800,491
444,826,110,130,659
447,419,131,888,121
946,256,732,978,753
716,257,786,468,851
904,833,453,731,357
571,243,963,187,671
691,801,745,68,318
510,672,932,558,642
591,178,820,702,593
