1,4,7,10
2,5,8,11
3,6,9,12
4,7,10,13
5,8,11,14
6,9,12,15
7,10,13,16
8,11,14,17
9,12,15,18
10,13,16,19
11,14,17,20
12,15,18,21
13,16,19,22
14,17,20,23
15,18,21,24
16,19,22,25
17,20,23,26
18,21,24,27
19,22,25,28
20,23,26,29
21,24,27,30
22,25,28,31
23,26,29,32
24,27,30,33
25,28,31,34
26,29,32,35
27,30,33,36
28,31,34,37
29,32,35,38
30,33,36,39
31,34,37,40
32,35,38,41
33,36,39,42
34,37,40,43
35,38,41,44
36,39,42,45
37,40,43,46
38,41,44,47
39,42,45,48
40,43,46,49
41,44,47,50
42,45,48,51
43,46,49,52
44,47,50,53
45,48,51,54
46,49,52,55
47,50,53,56
48,51,54,57
